"(1061531429, 1825841742)"	1.325
"(1061531454, 1061531803)"	1.325
"(1061531500, 1061531757)"	1.325
"(1061531593, 1061531807)"	1.325
"(1061531596, 1061531631)"	1.325
"(1061531596, 1061531730)"	1.325
"(1061531631, 1061531802)"	1.325
"(1061531645, 1061531818)"	1.325
"(1061531802, 1061531815)"	1.325
"(1260335220, 1260335264)"	1.0
"(246580346, 373903786)"	0.922
"(246857084, 246889362)"	0.922
"(247081122, 247085867)"	0.922
"(276204477, 592643527)"	1.257
"(276233404, 276233422)"	1.257
"(276314179, 276314186)"	0.82
"(276314186, 597414736)"	0.82
"(277387017, 3440153798)"	0.82
"(277578454, 280633667)"	0.745
"(280633667, 4695130340)"	0.745
"(2844853155, 2844853157)"	1.257
"(3026465132, 4526565698)"	2.208
"(3046713421, 6219469864)"	1.483
"(3099327950, 3099327952)"	0.995
"(3574648567, 5815234915)"	1.781
"(371337227, 5916527828)"	1.001
"(3838924967, 6202706307)"	0.745
"(42421731, 42437916)"	2.492
"(42421775, 42428657)"	0.975
"(42421778, 42441587)"	1.366
"(42421857, 42428858)"	0.975
"(42421974, 1241742563)"	5.604
"(42422006, 42428682)"	0.975
"(42423456, 4616536348)"	2.756
"(42424218, 42440973)"	0.922
"(42427086, 42428962)"	0.975
"(42427374, 42439836)"	2.686
"(42427805, 42435420)"	2.686
"(42427812, 42435633)"	1.753
"(42427821, 42438674)"	1.728
"(42427956, 42431889)"	3.219
"(42428005, 42428007)"	3.284
"(42428027, 42428029)"	1.494
"(42428045, 42428047)"	1.494
"(42428264, 42428268)"	9.279
"(42428313, 42428315)"	5.083
"(42428329, 42428332)"	5.083
"(42428436, 42452048)"	0.975
"(42428438, 42432161)"	0.82
"(42428460, 42449580)"	2.739
"(42428483, 42428489)"	2.56
"(42428579, 42428588)"	3.976
"(42428637, 42428640)"	0.975
"(42428643, 42428645)"	0.975
"(42428661, 42428663)"	0.975
"(42428701, 42428705)"	0.975
"(42428705, 42428709)"	0.975
"(42428746, 42428751)"	0.975
"(42428867, 42428869)"	0.975
"(42428926, 42428928)"	0.975
"(42428947, 561035367)"	1.325
"(42428951, 42428953)"	0.975
"(42429373, 42436935)"	2.282
"(42429375, 42439073)"	0.975
"(42429645, 486868873)"	0.82
"(42429741, 42435775)"	4.011
"(42429773, 486867513)"	0.905
"(42429782, 486868138)"	0.82
"(42429896, 4138911201)"	1.222
"(42429896, 42429900)"	2.121
"(42429976, 42431654)"	1.344
"(42429980, 42449982)"	3.737
"(42430038, 42430041)"	3.165
"(42430052, 42439556)"	2.444
"(42430052, 42446013)"	1.222
"(42430060, 42439559)"	1.344
"(42430164, 42439345)"	1.781
"(42430187, 42431773)"	2.282
"(42430217, 1692433940)"	4.254
"(42430231, 42430233)"	4.254
"(42430235, 42430237)"	2.096
"(42430253, 42430255)"	2.121
"(42430257, 42430259)"	2.121
"(42430304, 42430308)"	2.493
"(42430761, 42430770)"	0.975
"(42430803, 5837088104)"	3.257
"(42430811, 42430813)"	0.975
"(42430886, 3892037906)"	2.56
"(42431089, 42431094)"	0.995
"(42431207, 42435755)"	5.007
"(42431519, 42431524)"	2.176
"(42431549, 42440022)"	5.154
"(42431556, 42435714)"	5.666
"(42431560, 42440960)"	2.984
"(42431611, 272195271)"	0.922
"(42431674, 42437425)"	1.222
"(42431674, 42445994)"	1.222
"(42431785, 42431789)"	2.282
"(42431902, 370880739)"	0.905
"(42432068, 1919595929)"	1.863
