"y2009, 1061531429, 1825841742, nit"	1.414
"y2009, 1061531447, 1061531509, mor"	2.043
"y2009, 1061531496, 1061531575, aft"	1.396
"y2009, 1061531500, 1061531757, nit"	3.115
"y2009, 1061531509, 1061531777, mor"	2.527
"y2009, 1061531608, 1061531787, aft"	1.533
"y2009, 1061531682, 1061531768, eve"	1.884
"y2009, 1061531707, 3718672443, aft"	0.866
"y2009, 1061531790, 1061531847, eve"	1.884
"y2009, 1258875444, 1258875733, eve"	2.313
"y2009, 1506445821, 3579432159, aft"	1.316
"y2009, 1692433916, 1692433918, aft"	2.559
"y2009, 1692433919, 1692433920, nit"	2.842
"y2009, 1692433932, 1692433935, eve"	3.041
"y2009, 1773060097, 1773066054, eve"	2.455
"y2009, 1773076509, 1773076778, nit"	1.342
"y2009, 1773076511, 1773076513, aft"	1.062
"y2009, 1773076778, 1773078006, aft"	1.746
"y2009, 1773084391, 1773084407, aft"	1.809
"y2009, 1775201764, 6177439749, mor"	0.737
"y2009, 1778676708, 5838916777, aft"	1.06
"y2009, 1825841700, 1825841743, eve"	2.003
"y2009, 1825841700, 1825841754, eve"	1.912
"y2009, 1825841743, 4557482266, aft"	2.174
"y2009, 1919595911, 1919595914, mor"	3.645
"y2009, 1919595915, 1919595925, eve"	2.311
"y2009, 1942053104, 2282435319, nit"	1.041
"y2009, 2089938037, 2089938041, mor"	1.201
"y2009, 2282434925, 2282434930, nit"	1.041
"y2009, 2282435296, 2282435302, nit"	1.041
"y2009, 2433000850, 3778745484, aft"	1.06
"y2009, 2439690425, 2439690435, mor"	2.094
"y2009, 2446054616, 2446054619, mor"	1.58
"y2009, 246579753, 246580736, eve"	3.074
"y2009, 246648063, 402480678, aft"	2.205
"y2009, 246857084, 246889362, nit"	2.845
"y2009, 248708583, 595105589, aft"	0.805
"y2009, 2708237395, 2844853162, mor"	1.263
"y2009, 276204477, 592643527, nit"	1.987
"y2009, 276207581, 2844418535, aft"	0.793
"y2009, 276299246, 276315696, aft"	0.879
"y2009, 276299308, 276314934, mor"	1.201
"y2009, 277029606, 277031086, mor"	1.201
"y2009, 277030759, 2089937964, mor"	1.201
"y2009, 277617903, 277786880, mor"	1.263
"y2009, 277628606, 277628622, aft"	0.991
"y2009, 277629533, 277629594, mor"	1.263
"y2009, 277743735, 455517898, mor"	1.195
"y2009, 277743735, 599044263, eve"	0.614
"y2009, 277782923, 599140064, mor"	0.685
"y2009, 277786873, 5524087752, aft"	0.991
"y2009, 277787305, 3324555249, aft"	0.953
"y2009, 278609934, 3884569924, nit"	1.176
"y2009, 2821304137, 2821304138, eve"	1.371
"y2009, 2844853158, 3785693707, mor"	1.263
"y2009, 3638049583, 3638058983, nit"	1.492
"y2009, 371209940, 371239958, aft"	0.585
"y2009, 371337150, 5959765086, nit"	0.903
"y2009, 3786901738, 3786901743, aft"	1.815
"y2009, 3938689534, 6202762436, nit"	1.037
"y2009, 402475097, 402480678, eve"	3.074
"y2009, 402475097, 4133206254, aft"	2.205
"y2009, 42421741, 42432756, aft"	2.075
"y2009, 42421775, 42428657, nit"	1.556
"y2009, 42421806, 42437305, eve"	1.648
"y2009, 42421806, 42442475, eve"	1.648
"y2009, 42421877, 42421889, eve"	2.491
"y2009, 42421877, 42437949, eve"	2.349
"y2009, 42421889, 42430237, eve"	2.351
"y2009, 42421951, 42421965, mor"	1.646
"y2009, 42421969, 42435250, nit"	1.839
"y2009, 42421996, 42437050, aft"	1.638
"y2009, 42422028, 42422035, nit"	2.845
"y2009, 42422042, 42428374, nit"	2.51
"y2009, 42422283, 278608420, aft"	1.165
"y2009, 42422530, 589298584, nit"	1.245
"y2009, 42422545, 42423070, aft"	0.697
"y2009, 42422899, 42454010, nit"	1.085
"y2009, 42423674, 42430394, eve"	3.404
"y2009, 42424025, 4779073680, aft"	0.585
"y2009, 42424032, 42432572, aft"	2.86
"y2009, 42424427, 4557495130, aft"	2.938
"y2009, 42424439, 42435328, mor"	1.411
"y2009, 42426135, 42443118, nit"	0.903
"y2009, 42426138, 5959765086, nit"	0.903
"y2009, 42426374, 3099327964, aft"	1.483
"y2009, 42427305, 42427307, nit"	1.521
"y2009, 42427316, 42440815, eve"	1.811
"y2009, 42427324, 42427327, eve"	2.145
"y2009, 42427327, 42430041, eve"	2.145
"y2009, 42427374, 42439834, aft"	2.103
"y2009, 42427426, 42437890, aft"	2.102
"y2009, 42427427, 42435629, mor"	1.882
"y2009, 42427477, 42444928, aft"	1.546
