"y2009, 1061531429, 1825841742, nit"	1.331
"y2009, 1061531447, 1061531509, mor"	2.043
"y2009, 1061531448, 1061531491, aft"	1.43
"y2009, 1061531454, 1061531803, nit"	1.028
"y2009, 1061531496, 1061531575, aft"	1.396
"y2009, 1061531500, 1061531757, nit"	2.072
"y2009, 1061531509, 1061531777, mor"	2.527
"y2009, 1061531593, 1061531807, nit"	1.028
"y2009, 1061531608, 1061531787, aft"	1.57
"y2009, 1061531631, 1061531802, nit"	0.93
"y2009, 1061531682, 1061531768, eve"	1.707
"y2009, 1061531707, 3718672443, aft"	0.866
"y2009, 1061531790, 1061531847, eve"	1.707
"y2009, 1258875444, 1258875733, eve"	2.313
"y2009, 1258945357, 5802138867, eve"	2.093
"y2009, 1258945540, 1258945651, eve"	2.093
"y2009, 1506445821, 3579432159, aft"	1.316
"y2009, 1692433916, 1692433918, aft"	2.559
"y2009, 1692433919, 1692433920, nit"	2.842
"y2009, 1692433932, 1692433935, eve"	2.831
"y2009, 1773060097, 1773066054, eve"	2.455
"y2009, 1773076509, 1773076778, nit"	2.229
"y2009, 1773076511, 1773076513, aft"	1.062
"y2009, 1773076778, 1773078006, aft"	1.746
"y2009, 1773084391, 1773084407, aft"	1.556
"y2009, 1775201764, 6177439749, mor"	0.756
"y2009, 1778676708, 5838916777, aft"	1.06
"y2009, 1825841700, 1825841743, eve"	1.961
"y2009, 1825841700, 1825841754, eve"	2.037
"y2009, 1825841743, 4557482266, aft"	2.09
"y2009, 1918039869, 1918039901, eve"	2.027
"y2009, 1919595911, 1919595914, mor"	3.645
"y2009, 1919595915, 1919595925, eve"	2.109
"y2009, 1942053104, 2282435319, nit"	1.041
"y2009, 2089938037, 2089938041, mor"	1.201
"y2009, 2282434925, 2282434930, nit"	1.041
"y2009, 2282435296, 2282435302, nit"	1.041
"y2009, 2408379352, 2408395832, eve"	1.601
"y2009, 2408438456, 2408438462, eve"	1.601
"y2009, 2408446186, 2408446187, eve"	1.601
"y2009, 2408448896, 2408448905, eve"	1.601
"y2009, 2433000850, 3778745484, aft"	1.06
"y2009, 2439690425, 2439690435, mor"	1.271
"y2009, 2446054616, 2446054619, mor"	1.311
"y2009, 246579753, 246580736, eve"	5.169
"y2009, 246648063, 402480678, aft"	2.205
"y2009, 246857084, 246889362, nit"	2.542
"y2009, 246858654, 587987721, nit"	2.044
"y2009, 246913431, 588593059, eve"	3.79
"y2009, 246923513, 588546882, eve"	2.234
"y2009, 248708583, 595105589, aft"	0.805
"y2009, 2708237395, 2844853162, mor"	1.263
"y2009, 276204477, 592643527, nit"	1.473
"y2009, 276207581, 2844418535, aft"	0.793
"y2009, 276207582, 2262434175, eve"	2.317
"y2009, 276299246, 276315696, aft"	0.879
"y2009, 276299308, 276314934, mor"	1.201
"y2009, 276314975, 2089938010, nit"	0.816
"y2009, 277029606, 277031086, mor"	1.201
"y2009, 277029606, 277031447, nit"	0.96
"y2009, 277030759, 2089937964, mor"	1.201
"y2009, 277030944, 2089937970, nit"	0.816
"y2009, 277031447, 2089937973, nit"	0.96
"y2009, 277386430, 277386815, mor"	0.821
"y2009, 277617903, 277786880, mor"	1.263
"y2009, 277628606, 277628622, aft"	0.892
"y2009, 277629533, 277629594, mor"	1.263
"y2009, 277743735, 455517898, mor"	1.195
"y2009, 277743735, 599044263, eve"	0.614
"y2009, 277782923, 599140064, mor"	0.685
"y2009, 277786873, 5524087752, aft"	0.892
"y2009, 277787305, 3324555249, aft"	0.953
"y2009, 278609934, 3884569924, nit"	1.437
"y2009, 278630368, 278632281, nit"	1.377
"y2009, 279603573, 6406731013, eve"	1.631
"y2009, 2821304137, 2821304138, eve"	1.84
"y2009, 2844853158, 3785693707, mor"	1.263
"y2009, 3099326116, 3099327974, eve"	1.91
"y2009, 3099327950, 3099327966, eve"	1.274
"y2009, 3630219668, 5079840929, eve"	1.29
"y2009, 3638049583, 3638058983, nit"	1.492
"y2009, 371209940, 371239958, aft"	0.585
"y2009, 371337150, 5959765086, nit"	0.903
"y2009, 3778245561, 3778245586, eve"	1.631
"y2009, 3786901738, 3786901743, aft"	1.815
"y2009, 3938689534, 6202762436, nit"	1.037
"y2009, 402475097, 402480678, eve"	5.169
"y2009, 402475097, 4133206254, aft"	2.266
"y2009, 42421741, 42432756, aft"	2.075
"y2009, 42421775, 42428657, nit"	1.468
"y2009, 42421806, 42437305, eve"	1.648
"y2009, 42421806, 42442475, eve"	1.648
"y2009, 42421877, 42421889, eve"	2.253
"y2009, 42421877, 42437949, eve"	1.958
"y2009, 42421889, 42430237, eve"	2.351
"y2009, 42421951, 42421965, mor"	1.646
"y2009, 42421969, 42435250, nit"	1.839
"y2009, 42421974, 1241742563, nit"	0.83
"y2009, 42421996, 42437050, aft"	1.585
"y2009, 42422028, 42422035, nit"	2.845
"y2009, 42422042, 42428374, nit"	2.51
"y2009, 42422110, 42422168, eve"	1.631
"y2009, 42422283, 278608420, aft"	1.165
"y2009, 42422399, 42423331, eve"	0.707
"y2009, 42422530, 589298584, nit"	1.245
"y2009, 42422545, 42423070, aft"	0.842
"y2009, 42422899, 42454010, nit"	1.085
"y2009, 42423674, 42430394, eve"	2.891
"y2009, 42424025, 4779073680, aft"	0.585
"y2009, 42424032, 42432572, aft"	2.86
"y2009, 42424427, 4557495130, aft"	2.938
"y2009, 42424439, 42435328, mor"	1.411
"y2009, 42424698, 42424937, aft"	0.987
"y2009, 42424823, 587934172, eve"	0.707
"y2009, 42426135, 42443118, nit"	0.903
"y2009, 42426138, 5959765086, nit"	0.903
"y2009, 42426374, 3099327964, aft"	1.483
"y2009, 42426875, 589100228, mor"	1.416
"y2009, 42427128, 42427133, aft"	0.987
"y2009, 42427305, 42427307, nit"	1.521
"y2009, 42427316, 42440810, aft"	2.389
"y2009, 42427316, 42440815, eve"	1.962
"y2009, 42427324, 42427327, eve"	2.145
"y2009, 42427327, 42430041, eve"	2.145
"y2009, 42427346, 4841945992, mor"	2.672
"y2009, 42427358, 1919595922, mor"	2.672
"y2009, 42427374, 42439834, aft"	2.103
"y2009, 42427381, 42427386, eve"	2.713
"y2009, 42427426, 42437890, aft"	2.102
"y2009, 42427427, 42435629, mor"	1.827
"y2009, 42427477, 42444928, aft"	1.934
"y2009, 42427762, 42432818, aft"	2.444
"y2009, 42427787, 42428223, aft"	2.518
"y2009, 42427805, 42435420, nit"	1.582
"y2009, 42427812, 42435633, nit"	2.362
"y2009, 42427877, 42455705, mor"	0.823
"y2009, 42427968, 42427970, eve"	2.014
"y2009, 42427975, 42427979, nit"	1.471
"y2009, 42427996, 42428003, aft"	1.451
"y2009, 42428014, 589298178, aft"	15.51
"y2009, 42428020, 42451744, eve"	2.845
"y2009, 42428039, 42454196, mor"	2.044
"y2009, 42428179, 42428183, eve"	2.039
"y2009, 42428192, 42428198, aft"	2.249
"y2009, 42428198, 4597668040, eve"	4.171
"y2009, 42428206, 42437881, mor"	1.66
"y2009, 42428206, 449581627, nit"	2.396
"y2009, 42428216, 42429874, mor"	2.034
"y2009, 42428232, 6223969260, aft"	2.518
"y2009, 42428264, 42428268, nit"	2.416
"y2009, 42428264, 42430314, eve"	3.119
"y2009, 42428272, 42428277, eve"	2.925
"y2009, 42428277, 42428283, eve"	1.827
"y2009, 42428321, 42428328, mor"	2.044
"y2009, 42428321, 42440020, aft"	2.487
"y2009, 42428329, 42440022, nit"	3.963
"y2009, 42428374, 42434412, aft"	1.684
"y2009, 42428385, 42428391, mor"	1.805
"y2009, 42428402, 42428405, eve"	2.153
"y2009, 42428433, 42440815, aft"	2.389
"y2009, 42428433, 42440820, nit"	1.165
"y2009, 42428438, 42428441, aft"	1.915
"y2009, 42428441, 42442255, mor"	2.611
"y2009, 42428447, 1919595915, eve"	2.336
"y2009, 42428454, 1692433919, aft"	2.312
"y2009, 42428454, 42428458, aft"	2.312
"y2009, 42428458, 42431165, eve"	2.342
"y2009, 42428468, 42428471, nit"	2.297
"y2009, 42428476, 42428480, eve"	1.746
"y2009, 42428480, 42428483, mor"	1.835
"y2009, 42428483, 42428489, nit"	1.981
"y2009, 42428489, 42446528, nit"	2.51
"y2009, 42428491, 42428493, aft"	2.104
"y2009, 42428575, 42428579, aft"	1.834
"y2009, 42428604, 42428610, eve"	2.905
"y2009, 42428648, 1061531695, eve"	2.998
"y2009, 42428653, 1061531454, aft"	2.328
"y2009, 42428661, 42428663, nit"	1.468
"y2009, 42428674, 42428678, aft"	2.304
"y2009, 42428695, 42428701, aft"	2.304
"y2009, 42428962, 2504882466, aft"	0.987
"y2009, 42429094, 42429100, aft"	0.751
"y2009, 42429255, 42429704, mor"	0.823
"y2009, 42429324, 42446036, mor"	1.365
"y2009, 42429334, 42429338, aft"	1.85
"y2009, 42429334, 42447136, aft"	2.113
"y2009, 42429338, 42450030, eve"	1.74
"y2009, 42429354, 42440345, eve"	1.528
"y2009, 42429374, 42430249, eve"	2.062
"y2009, 42429378, 42432214, eve"	2.303
"y2009, 42429394, 42436439, aft"	2.322
"y2009, 42429541, 42438228, aft"	0.697
"y2009, 42429646, 42429647, eve"	2.313
"y2009, 42429657, 42439272, nit"	1.343
"y2009, 42429662, 42435610, aft"	2.3
"y2009, 42429682, 42445227, mor"	2.296
"y2009, 42429688, 42445232, mor"	1.849
"y2009, 42429693, 42429694, eve"	1.683
"y2009, 42429693, 42443009, eve"	184.715
"y2009, 42429694, 42445247, aft"	1.263
"y2009, 42429700, 42430231, eve"	2.19
"y2009, 42429727, 2099150501, eve"	1.631
"y22009, 42429741, 42435785, mor"	0.823
"y2009, 42429754, 486869282, nit"	1.44
"y2009, 42429773, 486867513, nit"	1.243
"y2009, 42429782, 486868138, nit"	1.928
"y2009, 42429830, 42452817, mor"	1.941
"y2009, 42429844, 42453902, aft"	0.904
"y2009, 42429844, 42454798, nit"	1.176
"y2009, 42429874, 42453624, nit"	2.507
"y2009, 42429890, 42446932, aft"	1.373
"y2009, 42429900, 42442895, nit"	1.156
"y2009, 42429918, 42446293, eve"	1.573
"y2009, 42429970, 42431649, nit"	2.261
"y2009, 42429971, 42431650, mor"	2.296
"y2009, 42429971, 42445961, mor"	2.296
"y2009, 42429974, 42459114, mor"	1.992
"y2009, 42429976, 42431654, nit"	1.426
"y2009, 42429980, 42431656, eve"	1.412
"y2009, 42429980, 42449982, nit"	1.083
"y2009, 42429981, 42442963, eve"	276.065
"y2009, 42429986, 42431661, eve"	2.103
"y2009, 42429999, 42439464, aft"	1.43
"y2009, 42429999, 42442417, aft"	1.43
"y2009, 42430004, 42453952, mor"	1.272
"y2009, 42430038, 42430041, nit"	4.701
"y2009, 42430056, 42454691, eve"	1.576
"y2009, 42430063, 42450009, aft"	1.111
"y2009, 42430102, 42442286, nit"	1.71
"y2009, 42430115, 42430118, eve"	1.952
"y2009, 42430115, 42453059, aft"	2.185
"y2009, 42430136, 3788379733, eve"	1.952
"y2009, 42430187, 42431773, nit"	2.842
"y2009, 42430217, 42430231, aft"	2.292
"y2009, 42430231, 42430233, nit"	2.935
"y2009, 42430235, 42433282, eve"	2.967
"y2009, 42430237, 42432191, eve"	2.452
"y2009, 42430241, 42432194, mor"	1.88
"y2009, 42430253, 42430255, nit"	2.494
"y2009, 42430288, 42430292, eve"	2.093
"y2009, 42430298, 42430304, aft"	2.398
"y2009, 42430304, 42430308, nit"	1.681
"y2009, 42430311, 42430314, mor"	2.131
"y2009, 42430311, 42452973, aft"	2.635
"y2009, 42430320, 42445649, aft"	2.452
"y2009, 42430329, 42430333, eve"	2.268
"y2009, 42430338, 42430342, mor"	1.938
"y2009, 42430344, 42430347, mor"	1.499
"y2009, 42430347, 42434072, eve"	2.107
"y2009, 42430350, 42439994, mor"	3.142
"y2009, 42430352, 42439996, eve"	1.428
"y2009, 42430352, 42443528, mor"	1.671
"y2009, 42430358, 42440001, aft"	2.758
"y2009, 42430378, 42431544, aft"	2.275
"y2009, 42430384, 42430390, mor"	2.503
"y2009, 42430390, 42430394, aft"	2.015
"y2009, 42430557, 42445357, aft"	2.273
"y2009, 42430633, 42430639, nit"	2.621
"y2009, 42430673, 42430677, aft"	1.742
"y2009, 42430739, 42430742, nit"	2.205
"y2009, 42430745, 42430747, nit"	2.205
"y2009, 42430761, 42430770, nit"	1.49
"y2009, 42430803, 42430805, aft"	2.125
"y2009, 42430811, 42430813, nit"	2.212
"y2009, 42430813, 42430818, mor"	2.06
"y2009, 42430818, 42430824, mor"	2.06
"y2009, 42430824, 42430828, aft"	2.135
"y2009, 42430857, 42430861, eve"	2.286
"y2009, 42430872, 42430886, mor"	1.897
"y2009, 42430872, 595407648, aft"	1.778
"y2009, 42430886, 3892037906, nit"	2.7
"y2009, 42430924, 42430938, mor"	1.681
"y2009, 42430938, 42449029, eve"	2.537
"y2009, 42430938, 42455013, eve"	2.537
"y2009, 42431000, 42442422, nit"	1.707
"y2009, 42431007, 42431008, eve"	2.257
"y2009, 42431168, 42437618, aft"	1.603
"y2009, 42431201, 42433163, eve"	2.545
"y2009, 42431210, 42437218, nit"	0.368
"y2009, 42431275, 42436384, aft"	2.7
"y2009, 42431293, 42443263, aft"	1.198
"y2009, 42431447, 42435316, mor"	1.411
"y2009, 42431453, 42434352, eve"	3.336
"y2009, 42431464, 42440737, eve"	1.35
"y2009, 42431464, 42442877, aft"	1.321
"y2009, 42431549, 42440020, aft"	2.265
"y2009, 42431560, 42440960, nit"	0.83
"y2009, 42431611, 272195271, nit"	2.176
"y2009, 42431611, 42431614, eve"	1.214
"y2009, 42431614, 42445357, mor"	1.713
"y2009, 42431626, 42453417, nit"	3.449
"y2009, 42431630, 42446814, aft"	1.433
"y2009, 42431649, 42455662, mor"	1.619
"y2009, 42431654, 42447060, aft"	2.047
"y2009, 42431671, 42437423, eve"	1.667
"y2009, 42431674, 42437425, nit"	1.436
"y2009, 42431674, 42445994, nit"	1.436
"y2009, 42431677, 42437428, aft"	1.816
"y2009, 42431680, 42437436, eve"	1.412
"y2009, 42431773, 42431777, aft"	2.334
"y2009, 42431797, 42431802, eve"	2.809
"y2009, 42431802, 4841945995, aft"	2.182
"y2009, 42431812, 42431814, nit"	2.176
"y2009, 42431822, 1692433911, eve"	3.505
"y2009, 42432060, 805771586, nit"	1.378
"y2009, 42432066, 1919595911, mor"	3.645
"y2009, 42432068, 1919595929, nit"	1.243
"y2009, 42432071, 42432073, nit"	1.951
"y2009, 42432083, 1918039877, eve"	1.748
"y2009, 42432108, 3212472843, nit"	2.36
"y2009, 42432142, 42442276, eve"	2.311
"y2009, 42432152, 42442273, mor"	2.249
"y2009, 42432184, 1773076513, aft"	1.317
"y2009, 42432194, 42432199, mor"	1.106
"y2009, 42432205, 42432208, eve"	2.275
"y2009, 42432208, 42432211, aft"	2.482
"y2009, 42432246, 42435451, eve"	1.871
"y2009, 42432302, 42432305, mor"	2.445
"y2009, 42432451, 42449942, eve"	1.509
"y2009, 42432585, 42439996, eve"	2.259
"y2009, 42432585, 42440001, nit"	2.501
"y2009, 42432589, 42432594, nit"	1.729
"y2009, 42432589, 42435680, eve"	2.319
"y2009, 42432594, 42440163, eve"	2.484
"y2009, 42432598, 42440170, eve"	2.837
"y2009, 42432693, 42443556, nit"	1.421
"y2009, 42432700, 42432703, eve"	5.052
"y2009, 42432856, 42449971, nit"	1.341
"y2009, 42432889, 2141026506, eve"	1.631
"y2009, 42432917, 42432926, aft"	2.611
"y2009, 42432926, 42432928, aft"	2.611
"y2009, 42432954, 42439588, nit"	1.226
"y2009, 42432963, 4205440426, nit"	1.707
"y2009, 42432963, 42434255, nit"	2.188
"y2009, 42432980, 2504882506, nit"	1.226
"y2009, 42432985, 42432990, nit"	1.226
"y2009, 42432992, 42432994, nit"	1.226
"y2009, 42433173, 1705982030, nit"	1.22
"y2009, 42433260, 42433282, nit"	1.758
"y2009, 42433261, 42436856, eve"	1.437
"y2009, 42433281, 3584752508, nit"	1.451
"y2009, 42433298, 3584752508, aft"	1.454
"y2009, 42433539, 42433542, aft"	1.165
"y2009, 42433545, 5407894891, mor"	0.821
"y2009, 42433565, 42437300, eve"	1.551
"y2009, 42433581, 42448554, aft"	5.011
"y2009, 42433604, 42443950, mor"	1.75
"y2009, 42433611, 42439960, eve"	2.016
"y2009, 42433620, 42435650, eve"	2.179
"y2009, 42433625, 42444985, mor"	0.806
"y2009, 42433712, 42433715, eve"	2.591
"y2009, 42433927, 42435310, aft"	2.047
"y2009, 42433927, 42435497, aft"	2.116
"y2009, 42434072, 42452353, aft"	2.558
"y2009, 42434160, 42442480, nit"	1.249
"y2009, 42434166, 42444487, eve"	1.601
"y2009, 42434168, 42444491, aft"	0.722
"y2009, 42434196, 4015190382, nit"	1.45
"y2009, 42434201, 42442851, nit"	1.661
"y2009, 42434205, 42444827, eve"	1.414
"y2009, 42434249, 42435869, mor"	0.823
"y2009, 42434262, 42442625, nit"	0.966
"y2009, 42434270, 42439836, mor"	1.467
"y2009, 42434308, 42435876, mor"	0.823
"y2009, 42434385, 42450061, mor"	1.942
"y2009, 42434807, 42439842, aft"	2.102
"y2009, 42434871, 42436056, mor"	1.073
"y2009, 42434894, 42436614, nit"	1.102
"y2009, 42434895, 42436619, aft"	1.162
"y2009, 42434904, 42436604, eve"	1.274
"y2009, 42434948, 561042191, eve"	2.196
"y2009, 42434951, 3786901743, nit"	2.21
"y2009, 42434959, 42445378, mor"	2.583
"y2009, 42434959, 42449932, mor"	2.044
"y2009, 42434974, 42445390, aft"	1.165
"y2009, 42434992, 42454622, nit"	1.226
"y2009, 42435265, 42435266, mor"	0.823
"y2009, 42435266, 42435269, eve"	1.613
"y2009, 42435269, 42435272, aft"	1.755
"y2009, 42435295, 42435301, aft"	1.768
"y2009, 42435341, 42435343, aft"	2.242
"y2009, 42435359, 42443426, aft"	1.316
"y2009, 42435395, 42447196, nit"	1.03
"y2009, 42435451, 6123654602, eve"	1.871
"y2009, 42435485, 42445505, nit"	3.385
"y2009, 42435491, 42445511, aft"	2.841
"y2009, 42435499, 42446031, aft"	1.331
"y2009, 42435499, 42446036, eve"	1.664
"y2009, 42435504, 42435509, eve"	2.222
"y2009, 42435509, 42447126, aft"	2.046
"y2009, 42435516, 42443032, nit"	1.944
"y2009, 42435596, 42439823, eve"	3.217
"y2009, 42435629, 42435632, aft"	1.979
"y2009, 42435644, 42437663, eve"	2.056
"y2009, 42435660, 42435663, mor"	2.645
"y2009, 42435660, 42445001, aft"	2.454
"y2009, 42435663, 5849918504, nit"	2.026
"y2009, 42435684, 42435687, eve"	2.348
"y2009, 42435716, 42445039, mor"	1.584
"y2009, 42435736, 1778676708, mor"	4.391
"y2009, 42435810, 4888388399, mor"	0.823
"y2009, 42435891, 42435894, mor"	0.823
"y2009, 42436146, 42436149, eve"	0.0
"y2009, 42436149, 42436152, aft"	2.823
"y2009, 42436184, 42452310, mor"	2.439
"y2009, 42436353, 42436355, aft"	1.388
"y2009, 42436371, 42448563, nit"	1.252
"y2009, 42436374, 6210448866, aft"	1.388
"y2009, 42436384, 42436390, eve"	1.891
"y2009, 42436411, 6211334202, eve"	1.953
"y2009, 42436475, 42445225, eve"	1.667
"y2009, 442436481, 42438795, nit"	1.617
"y2009, 42436481, 42445230, nit"	1.617
"y2009, 42436481, 596776057, nit"	1.622
"y2009, 42436484, 42438798, aft"	1.877
"y2009, 42436486, 42445236, eve"	1.369
"y2009, 42436492, 42445247, aft"	1.263
"y2009, 42436514, 6177439750, aft"	1.928
"y2009, 42436519, 42449982, nit"	1.079
"y2009, 42436527, 42442963, mor"	2.545
"y2009, 42436537, 42436539, aft"	1.755
"y2009, 42436539, 42445733, aft"	1.508
"y2009, 42436541, 42444812, nit"	1.278
"y2009, 42436541, 42445736, nit"	1.278
"y2009, 42436575, 42445867, nit"	2.488
